Customer ID,Customer Name,Segment
DD-13570120,Dorothy Dickinson,Consumer
DV-1346558,Dianna Vittorini,Consumer
CS-2460134,Chuck Sachs,Consumer
TN-2104092,Tanja Norvell,Home Office
MB-180858,Mick Brown,Consumer
EM-1396064,Eric Murdock,Consumer
TS-2120582,Thomas Seio,Corporate
RP-1985548,Roy Phan,Corporate
AG-10765139,Anthony Garverick,Home Office
PB-19105139,Peter Bühler,Consumer
SC-1044095,Shaun Chance,Corporate
SV-203651406,Seth Vernon,Consumer
RD-972038,Roger Demir,Consumer
BW-1120082,Ben Wallace,Consumer
GM-1468091,Greg Matthias,Consumer
JL-15175143,James Lanier,Home Office
SC-20800124,Stuart Calhoun,Consumer
CS-118457,Cari Sayre,Corporate
SR-204258,Sharelle Roach,Home Office
BD-116051404,Brian Dahlen,Consumer
CS-122501408,Chris Selesnick,Corporate
BP-1109593,Bart Pistole,Corporate
TB-2105582,Ted Butterfield,Consumer
SN-10710117,Steve Nguyen,Home Office
BD-1725134,Bruce Degenhardt,Consumer
MY-18295102,Muhammed Yedwab,Corporate
MM-179201406,Michael Moore,Consumer
ND-183701408,Natalie DeCherney,Consumer
DJ-1351048,Don Jones,Corporate
CL-1270045,Craig Leslie,Home Office
BS-115901406,Brendan Sweed,Corporate
RB-1979536,Ross Baird,Home Office
MC-1810059,Mick Crebagga,Consumer
MB-808595,Mick Brown,Consumer
EH-139901408,Erica Hackney,Consumer
AH-1019539,Alan Haines,Corporate
EH-1376545,Edward Hooks,Corporate
DL-133151406,Delfina Latchford,Consumer
VM-218357,Vivian Mathis,Consumer
TW-210257,Tamara Willingham,Home Office
SD-2048534,Shirley Daniels,Home Office
CS-2175129,Charles Sheldon,Corporate
MD-17860120,Michael Dominguez,Corporate
VG-2179018,Vivek Gonzalez,Consumer
RB-1943534,Richard Bierner,Consumer
BP-1290110,Beth Paige,Consumer
PG-8820146,Patrick Gardner,Consumer
MA-1756064,Matt Abelman,Home Office
AG-1030093,Aleksandra Gannaway,Corporate
PW-1903088,Pauline Webber,Corporate
DW-131951404,David Wiener,Corporate
AB-1060064,Ann Blume,Corporate
MK-790523,Michael Kennedy,Corporate
MA-79954,Michelle Arnett,Home Office
SM-2095082,Suzanne McNair,Corporate
IM-507060,Irene Maddox,Consumer
AB-1025582,Alejandro Ballentine,Home Office
DK-1298545,Darren Koutras,Consumer
RB-933095,Randy Bradley,Consumer
RD-9900108,Ruben Dartt,Consumer
TR-213257,Toby Ritter,Consumer
TS-213401404,Toby Swindell,Consumer
HL-1504093,Hunter Lopez,Consumer
SH-997584,Sally Hughsby,Corporate
RC-1996048,Ryan Crowe,Consumer
HL-150401408,Hunter Lopez,Consumer
DV-304560,Darrin Van Huff,Corporate
MV-174851404,Mark Van Huff,Consumer
MM-182801408,Muhammed MacIntyre,Corporate
PW-19030130,Pauline Webber,Corporate
XP-218651402,Xylona Preis,Consumer
PS-1897064,Paul Stevenson,Home Office
MH-1729014,Marc Harrigan,Home Office
SS-208757,Sung Shariari,Consumer
JK-532569,Jason Klamczynski,Corporate
CB-1253545,Claudia Bergmann,Corporate
CL-1189039,Carl Ludwig,Consumer
MP-1796528,Michael Paige,Corporate
BM-1575134,Brendan Murry,Corporate
TB-214001408,Tom Boeckenhauer,Consumer
LT-1676593,Larry Tron,Consumer
CR-2625110,Corey Roper,Home Office
AB-60042,Ann Blume,Corporate
CP-1234048,Christine Phan,Corporate
SJ-2050064,Shirley Jackson,Consumer
JM-1558092,Jill Matthias,Consumer
LC-168857,Lena Creighton,Consumer
IM-150551404,Ionia McGrath,Consumer
CC-1243058,Chuck Clark,Home Office
GH-466577,Greg Hansen,Consumer
JS-1594064,Joni Sundaresam,Home Office
JM-5250134,Janet Martin,Consumer
SG-206051402,Speros Goranitis,Consumer
MW-1822059,Mitch Webber,Consumer
FO-1430545,Frank Olsen,Consumer
GH-442595,Gary Hwang,Consumer
AB-1015045,Aimee Bixby,Consumer
FM-1421548,Filia McAdams,Corporate
BT-1485117,Brad Thomas,Home Office
BP-1109582,Bart Pistole,Corporate
LW-1721527,Luke Weiss,Consumer
SA-2083031,Sue Ann Reed,Consumer
HK-1489059,Heather Kirkland,Corporate
JF-5355134,Jay Fein,Consumer
AR-10405104,Allen Rosenblatt,Corporate
NC-834086,Nat Carroll,Consumer
SH-9975112,Sally Hughsby,Corporate
HG-1502545,Hunter Glantz,Consumer
BT-153060,Bradley Talbott,Home Office
NM-1844558,Nathan Mautz,Home Office
AA-1064558,Anna Andreadi,Consumer
AS-1024045,Alan Shonely,Consumer
CA-1226559,Christina Anderson,Consumer
MM-1792096,Michael Moore,Consumer
PO-18850120,Patrick O'Brill,Consumer
CA-119651402,Carol Adams,Corporate
NS-1850582,Neola Schneider,Consumer
KN-1645027,Kean Nguyen,Corporate
TS-1137024,Todd Sumrall,Corporate
RA-994532,Ryan Akin,Consumer
DB-1336059,Dennis Bolton,Home Office
LP-708086,Liz Pelletier,Consumer
BW-1106536,Barry Weirich,Consumer
SD-204851408,Shirley Daniels,Home Office
JR-157007,Jocasta Rupert,Consumer
EJ-137201404,Ed Jacobs,Consumer
MP-1796559,Michael Paige,Corporate
HF-1499545,Herbert Flentye,Consumer
RP-1939018,Resi Pölking,Consumer
RP-19390143,Resi Pölking,Consumer
JC-153401406,Jasper Cacioppo,Consumer
NB-865515,Nona Balk,Corporate
HE-1480092,Harold Engle,Corporate
DP-316595,David Philippe,Consumer
AG-90095,Arthur Gainer,Consumer
TS-2161092,Troy Staebel,Consumer
LS-172007,Luke Schmidt,Corporate
BD-177086,Bryan Davis,Consumer
CM-1216093,Charles McCrossin,Consumer
SF-2020027,Sarah Foster,Consumer
DK-1283536,Damala Kotsonis,Corporate
BD-11560113,Brendan Dodson,Home Office
MV-181901402,Mike Vittorini,Consumer
PO-1886511,Patrick O'Donnell,Consumer
DK-31504,David Kendrick,Corporate
SP-2065027,Stephanie Phelps,Corporate
DK-1315027,David Kendrick,Corporate
DH-1307598,Dave Hallsten,Corporate
PO-885060,Patrick O'Brill,Consumer
GH-1448545,Gene Hale,Corporate
RR-1931564,Ralph Ritter,Consumer
LC-170501404,Liz Carlisle,Consumer
IM-1505548,Ionia McGrath,Consumer
ES-1408027,Erin Smith,Corporate
KH-1663048,Ken Heidel,Corporate
EH-1418545,Evan Henry,Consumer
EB-13705120,Ed Braxton,Corporate
EB-1384048,Ellis Ballard,Corporate
KL-16645120,Ken Lonsdale,Consumer
BD-115001402,Bradley Drucker,Consumer
JM-15580139,Jill Matthias,Consumer
GD-14590130,Giulietta Dortch,Corporate
LO-17170120,Lori Olson,Corporate
DN-136907,Duane Noonan,Consumer
CD-127901404,Cynthia Delaney,Home Office
EB-139301408,Eric Barreto,Consumer
ML-17755124,Max Ludwig,Home Office
DB-321095,Dean Braden,Consumer
TS-2116027,Theresa Swint,Corporate
SW-104554,Shaun Weien,Consumer
CC-1237092,Christopher Conant,Consumer
TS-11430117,Tom Stivers,Corporate
DD-1357045,Dorothy Dickinson,Consumer
BT-1148545,Brad Thomas,Home Office
AS-63095,Ann Steele,Home Office
TB-214001404,Tom Boeckenhauer,Consumer
DB-132701404,Deborah Brumfield,Home Office
AW-840134,Anthony Witt,Consumer
MH-174401404,Mark Haberlin,Corporate
JM-6195134,Justin MacKendrick,Consumer
NW-1840078,Natalie Webber,Consumer
DB-1366027,Duane Benoit,Consumer
DL-133151402,Delfina Latchford,Consumer
LT-1711059,Liz Thompson,Consumer
SM-2090545,Susan MacKendrick,Consumer
SW-2027592,Scott Williamson,Consumer
GB-1453045,George Bell,Corporate
ND-184601408,Neil Ducich,Corporate
CS-122501406,Chris Selesnick,Corporate
CK-127601406,Cyma Kinney,Corporate
EB-1375045,Edward Becker,Corporate
SW-2045564,Shaun Weien,Consumer
KW-657038,Kelly Williams,Consumer
KW-1657026,Kelly Williams,Consumer
BP-1109527,Bart Pistole,Corporate
JB-604561,Julia Barnett,Home Office
TP-2141531,Tom Prescott,Consumer
LT-1711082,Liz Thompson,Consumer
ST-2053031,Shui Tom,Consumer
CL-1256548,Clay Ludtke,Consumer
YC-21895139,Yoseph Carroll,Corporate
NG-1835591,Nat Gilpin,Corporate
HR-14770120,Hallie Redmond,Home Office
DR-12940118,Daniel Raglin,Home Office
EH-140057,Erica Hernandez,Home Office
NM-184451404,Nathan Mautz,Home Office
CA-1196566,Carol Adams,Corporate
JH-5820117,John Huston,Consumer
ME-18010120,Michelle Ellison,Corporate
PL-1892548,Paul Lucas,Home Office
FO-1430578,Frank Olsen,Consumer
JP-15460125,Jennifer Patt,Corporate
CM-1211545,Chad McGuire,Consumer
QJ-1925582,Quincy Jones,Corporate
MO-1780048,Meg O'Connel,Home Office
PO-918083,Philisse Overcash,Home Office
ME-1801027,Michelle Ellison,Corporate
MO-7500136,Mary O'Rourke,Consumer
AH-690147,Anna Häberlin,Corporate
LD-700560,Lisa DeCherney,Consumer
SN-2071018,Steve Nguyen,Home Office
SP-2086058,Sung Pak,Corporate
EM-396086,Eric Murdock,Consumer
GA-147251402,Guy Armstrong,Consumer
NF-183851408,Natalie Fritzler,Consumer
MG-1789058,Michael Granlund,Home Office
SC-200951404,Sanjit Chand,Consumer
MM-8280108,Muhammed MacIntyre,Corporate
KB-164057,Katrina Bavinger,Home Office
JC-534094,Jasper Cacioppo,Consumer
LB-1679531,Laurel Beltran,Home Office
TG-2131027,Toby Gnade,Consumer
TC-11295111,Toby Carlisle,Consumer
DB-1327056,Deborah Brumfield,Home Office
HA-14920120,Helen Andreada,Consumer
TB-11280108,Toby Braunhardt,Consumer
PA-9060117,Pete Armstrong,Home Office
JE-1547566,Jeremy Ellison,Consumer
CM-12385102,Christopher Martinez,Consumer
GZ-1447091,Gary Zandusky,Consumer
TP-21565120,Tracy Poddar,Corporate
TB-1162533,Trudy Brown,Consumer
ML-173951404,Marina Lichtenstein,Corporate
ST-205301402,Shui Tom,Consumer
ON-1871545,Odella Nelson,Corporate
BF-1121558,Benjamin Farhat,Home Office
BF-110201404,Barry Französisch,Corporate
MH-1762031,Matt Hagelstein,Corporate
BW-111107,Bart Watters,Corporate
RW-1963045,Rob Williams,Corporate
TZ-2158093,Tracy Zic,Consumer
ED-1388551,Emily Ducich,Home Office
LA-1678027,Laura Armstrong,Corporate
LB-16795130,Laurel Beltran,Home Office
KW-6435147,Katrina Willman,Consumer
MN-179351402,Michael Nguyen,Consumer
RD-972095,Roger Demir,Consumer
ML-180407,Michelle Lonsdale,Corporate
CM-12160118,Charles McCrossin,Consumer
AB-1016545,Alan Barnes,Consumer
RD-1990058,Ruben Dartt,Consumer
JR-156707,Jim Radford,Consumer
DL-1292548,Daniel Lacy,Consumer
KH-1663045,Ken Heidel,Corporate
SN-1056023,Skye Norling,Home Office
AB-100151402,Aaron Bergman,Consumer
LT-1676558,Larry Tron,Consumer
TB-215951402,Troy Blackwell,Consumer
SC-2002066,Sam Craven,Consumer
ZD-2192564,Zuschuss Donatelli,Consumer
JL-158507,John Lucas,Consumer
EA-1403527,Erin Ashbrook,Corporate
LM-17065102,Liz MacKendrick,Consumer
AR-1051056,Andrew Roberts,Consumer
AG-10900113,Arthur Gainer,Consumer
LC-169301402,Linda Cazamias,Corporate
SJ-20215125,Sarah Jordon,Consumer
AM-1036064,Alice McCarthy,Corporate
SR-207401404,Steven Roelle,Home Office
PG-1889564,Paul Gonzalez,Consumer
RW-9540103,Rick Wilson,Corporate
SZ-1003560,Sam Zeldin,Home Office
CM-1238562,Christopher Martinez,Consumer
RH-1951058,Rick Huthwaite,Home Office
AG-495134,Andrew Gjertsen,Corporate
PH-879033,Patricia Hirasaki,Home Office
ML-8040134,Michelle Lonsdale,Corporate
TM-210101402,Tamara Manning,Consumer
JD-1606045,Julia Dunbar,Consumer
MG-1820558,Mitch Gastineau,Corporate
MO-1750082,Mary O'Rourke,Consumer
RF-1973597,Roland Fjeld,Consumer
CM-19359,Carlos Meador,Consumer
GD-1459064,Giulietta Dortch,Corporate
SA-208301404,Sue Ann Reed,Consumer
JC-1610514,Julie Creighton,Corporate
TS-1143060,Tom Stivers,Corporate
CS-1195018,Carlos Soltero,Consumer
GZ-1447018,Gary Zandusky,Consumer
JM-1565588,Jim Mitchum,Corporate
GZ-1447036,Gary Zandusky,Consumer
DK-283595,Damala Kotsonis,Corporate
CB-2415111,Christy Brittain,Consumer
MG-178751402,Michael Grace,Home Office
TB-1128023,Toby Braunhardt,Consumer
RO-97803,Rose O'Brian,Consumer
FM-1438027,Fred McMath,Consumer
MK-1816031,Mike Kennedy,Consumer
TH-1155033,Tracy Hopkins,Home Office
EG-1390051,Emily Grady,Consumer
JH-154301404,Jennifer Halladay,Consumer
BS-1138093,Bill Stewart,Corporate
MD-1786059,Michael Dominguez,Corporate
BO-1142591,Bobby Odegard,Consumer
RL-1961539,Rob Lucas,Consumer
DF-1313566,David Flashing,Consumer
AH-1019531,Alan Haines,Corporate
AH-1019518,Alan Haines,Corporate
LC-1687027,Lena Cacioppo,Consumer
DK-337560,Dennis Kane,Consumer
PS-18970118,Paul Stevenson,Home Office
SB-2018518,Sarah Brown,Consumer
DB-13270102,Deborah Brumfield,Home Office
JS-160301406,Joy Smith,Consumer
SH-199757,Sally Hughsby,Corporate
TS-21370139,Todd Sumrall,Corporate
RD-9900137,Ruben Dartt,Consumer
TB-2140048,Tom Boeckenhauer,Consumer
KH-163607,Katherine Hughes,Consumer
BS-1800137,Bryan Spruell,Home Office
DB-130601404,Dave Brooks,Consumer
CM-1223545,Chris McAfee,Consumer
RF-1934566,Randy Ferguson,Corporate
LH-1715559,Logan Haushalter,Consumer
LO-1717048,Lori Olson,Corporate
LH-171557,Logan Haushalter,Consumer
GW-146051402,Giulietta Weimer,Consumer
HR-147701406,Hallie Redmond,Home Office
EL-1373548,Ed Ludwig,Home Office
BD-116207,Brian DeCherney,Consumer
JF-1549064,Jeremy Farry,Consumer
EH-376595,Edward Hooks,Corporate
SC-203801402,Shahid Collister,Consumer
TP-1141523,Tom Prescott,Consumer
VF-217151402,Vicky Freymann,Home Office
CC-124307,Chuck Clark,Home Office
MZ-1751559,Mary Zewe,Corporate
GD-145907,Giulietta Dortch,Corporate
NW-840061,Natalie Webber,Consumer
KN-167051406,Kristina Nunn,Home Office
FH-1427531,Frank Hawley,Corporate
NH-186101406,Nicole Hansen,Corporate
SC-102302,Scot Coram,Corporate
MV-1819011,Mike Vittorini,Consumer
AP-107201406,Anne Pryor,Home Office
AJ-109451408,Ashley Jarboe,Consumer
MW-1823536,Mitch Willingham,Corporate
BW-120086,Ben Wallace,Consumer
SF-10065107,Sandra Flanagan,Consumer
CS-1186055,Cari Schnelling,Consumer
EJ-141551404,Eva Jacobs,Consumer
AP-72038,Anne Pryor,Home Office
CC-23703,Christopher Conant,Consumer
AJ-96095,Astrea Jones,Consumer
DP-1316564,David Philippe,Consumer
JS-155951406,Jill Stevenson,Corporate
TS-1108563,Thais Sissman,Consumer
RB-1970545,Roger Barcio,Home Office
YS-1188060,Yana Sorensen,Corporate
SC-200201402,Sam Craven,Consumer
CC-1222055,Chris Cortes,Consumer
BE-1145527,Brad Eason,Home Office
CL-125651408,Clay Ludtke,Consumer
DM-1301593,Darrin Martin,Consumer
PW-9240134,Pierre Wener,Consumer
JL-583595,John Lee,Consumer
SC-200951408,Sanjit Chand,Consumer
AB-101501406,Aimee Bixby,Consumer
SD-20485139,Shirley Daniels,Home Office
BP-1050103,Barry Pond,Corporate
RD-1993051,Russell D'Ascenzo,Consumer
AB-100151404,Aaron Bergman,Consumer
MG-7695110,Maureen Gnade,Consumer
PG-1889551,Paul Gonzalez,Consumer
CM-127151404,Craig Molinari,Corporate
TS-2134045,Toby Swindell,Consumer
NP-1832511,Naresj Patel,Consumer
BW-111022,Bart Watters,Corporate
NP-186851404,Nora Pelletier,Home Office
GT-1471039,Greg Tran,Consumer
SC-2068021,Steve Carroll,Home Office
DK-13150102,David Kendrick,Corporate
GR-456095,Georgia Rosenberg,Corporate
DK-337523,Dennis Kane,Consumer
CR-1262598,Corey Roper,Home Office
LW-1721548,Luke Weiss,Consumer
JF-549047,Jeremy Farry,Consumer
JK-5730103,Joe Kamberova,Consumer
MS-177105,Maurice Satty,Consumer
KM-1622559,Kalyca Meade,Corporate
AG-675117,Anna Gayman,Consumer
SS-201407,Saphhira Shifley,Corporate
JL-15235120,Janet Lee,Consumer
BM-1178527,Bryan Mills,Consumer
TT-2146048,Tonja Turnell,Home Office
JS-1603027,Joy Smith,Consumer
KD-1634518,Katherine Ducich,Consumer
AG-10675139,Anna Gayman,Consumer
TN-2104018,Tanja Norvell,Home Office
BC-1125134,Becky Castell,Home Office
KT-164801404,Kean Thornton,Consumer
BT-11395139,Bill Tyler,Corporate
SW-202751402,Scott Williamson,Consumer
PM-913560,Peter McVee,Home Office
MF-1766548,Maureen Fritzler,Corporate
CK-122051406,Chloris Kastensmidt,Consumer
SG-206057,Speros Goranitis,Consumer
KS-1630051,Karen Seio,Corporate
FM-142151408,Filia McAdams,Corporate
MM-1805531,Michelle Moray,Consumer
RD-1993055,Russell D'Ascenzo,Consumer
SC-2077018,Stewart Carmichael,Corporate
KA-165251406,Kelly Andreada,Consumer
MH-17455143,Mark Hamilton,Consumer
PO-1886545,Patrick O'Donnell,Consumer
AJ-7803,Anthony Jacobs,Corporate
NM-18520102,Neoma Murray,Consumer
RB-194351404,Richard Bierner,Consumer
CD-1192027,Carlos Daly,Consumer
HK-14890125,Heather Kirkland,Corporate
SG-2047044,Sheri Gordon,Consumer
TZ-2144551,Tom Zandusky,Corporate
RR-1952559,Rick Reed,Corporate
EB-1411048,Eugene Barchas,Consumer
CM-1181548,Candace McMahon,Corporate
KA-1652548,Kelly Andreada,Consumer
CK-123251408,Christine Kargatis,Home Office
RC-1982598,Roy Collins,Consumer
DK-132251404,Dean Katz,Corporate
SF-1006587,Sandra Flanagan,Consumer
DL-1333092,Denise Leinenbach,Consumer
JF-152951404,Jason Fortune-,Consumer
BM-1157527,Brendan Murry,Corporate
NF-184751408,Neil Französisch,Home Office
RB-194651402,Rick Bensley,Home Office
DB-1297045,Darren Budd,Corporate
AS-102401408,Alan Shonely,Consumer
DK-1309027,Dave Kipp,Consumer
RE-19405139,Ricardo Emerson,Consumer
SA-20830102,Sue Ann Reed,Consumer
FC-1433582,Fred Chung,Corporate
MM-828033,Muhammed MacIntyre,Corporate
PF-1912027,Peter Fuller,Consumer
CK-122057,Chloris Kastensmidt,Consumer
PO-919575,Phillina Ober,Home Office
Dl-1360064,Dorris liebe,Corporate
BT-116807,Brian Thompson,Consumer
KN-167051408,Kristina Nunn,Home Office
SV-1093595,Susan Vittorini,Consumer
AZ-107501402,Annie Zypern,Consumer
BN-115151402,Bradley Nguyen,Consumer
CC-1255039,Clay Cheatham,Consumer
CP-123401406,Christine Phan,Corporate
DK-315047,David Kendrick,Corporate
YC-2189548,Yoseph Carroll,Corporate
MS-1771082,Maurice Satty,Consumer
MH-174401408,Mark Haberlin,Corporate
QJ-192551406,Quincy Jones,Corporate
PO-18865102,Patrick O'Donnell,Consumer
DK-1298558,Darren Koutras,Consumer
JM-152657,Janet Molinari,Corporate
EN-1378045,Edward Nazzal,Consumer
EK-137951404,Eileen Kiefer,Home Office
AS-10240144,Alan Shonely,Consumer
SN-2056045,Skye Norling,Home Office
DL-1333051,Denise Leinenbach,Consumer
CS-121307,Chad Sievert,Consumer
ND-837095,Natalie DeCherney,Consumer
SC-200501404,Sample Company A,Home Office
SM-203201408,Sean Miller,Home Office
SF-2006548,Sandra Flanagan,Consumer
MC-176051408,Matt Connell,Corporate
DJ-13420144,Denny Joy,Corporate
MV-1819058,Mike Vittorini,Consumer
MC-17425101,Mark Cousins,Corporate
DM-1301564,Darrin Martin,Consumer
RK-1930082,Ralph Kennedy,Consumer
GD-1459091,Giulietta Dortch,Corporate
CB-120251406,Cassandra Brandow,Consumer
AB-1001564,Aaron Bergman,Consumer
JL-151307,Jack Lebron,Consumer
CA-1205531,Cathy Armstrong,Home Office
JK-5625116,Jim Karlsson,Consumer
JF-529560,Jason Fortune-,Consumer
GM-144401408,Gary McGarr,Consumer
MS-1798054,Michael Stewart,Corporate
EJ-1372096,Ed Jacobs,Consumer
KH-166901408,Kristen Hastings,Corporate
AS-10045125,Aaron Smayling,Corporate
TS-212051408,Thomas Seio,Corporate
AS-285147,Alejandro Savely,Corporate
JW-1607582,Julia West,Consumer
BM-1178592,Bryan Mills,Consumer
BF-112751404,Beth Fritzler,Corporate
CC-126851408,Craig Carroll,Consumer
DP-13000144,Darren Powers,Consumer
CD-1198048,Carol Darley,Consumer
PF-191657,Philip Fox,Consumer
PS-1897054,Paul Stevenson,Home Office
NF-1847593,Neil Französisch,Home Office
JC-1534027,Jasper Cacioppo,Consumer
VM-218351402,Vivian Mathis,Consumer
DK-337587,Dennis Kane,Consumer
DB-1327048,Deborah Brumfield,Home Office
TS-2150559,Tony Sayre,Consumer
BG-117401408,Bruce Geld,Consumer
DH-13075102,Dave Hallsten,Corporate
KT-646529,Kean Takahito,Consumer
EJ-1415582,Eva Jacobs,Consumer
AJ-960134,Astrea Jones,Consumer
CA-2310117,Christine Abelman,Corporate
PO-188651404,Patrick O'Donnell,Consumer
TW-2102545,Tamara Willingham,Home Office
CD-119201406,Carlos Daly,Consumer
LW-16825113,Laurel Workman,Corporate
DK-1298536,Darren Koutras,Consumer
MS-177101404,Maurice Satty,Consumer
AB-100607,Adam Bellavance,Home Office
GG-1465027,Greg Guthrie,Corporate
LR-1691539,Lena Radford,Consumer
AZ-107501406,Annie Zypern,Consumer
HP-14815139,Harold Pawlan,Home Office
CA-122651404,Christina Anderson,Consumer
HG-1502548,Hunter Glantz,Consumer
JL-583560,John Lee,Consumer
MF-1766559,Maureen Fritzler,Corporate
BD-1172591,Bruce Degenhardt,Consumer
BP-129060,Beth Paige,Consumer
MC-1763582,Matthew Clasen,Corporate
TB-21190139,Thomas Brumley,Home Office
VM-216857,Valerie Mitchum,Home Office
SC-200207,Sam Craven,Consumer
JF-1519045,Jamie Frazer,Consumer
CS-125051404,Cindy Stewart,Consumer
DK-128351404,Damala Kotsonis,Corporate
TH-21100125,Thea Hendricks,Consumer
JD-158951404,Jonathan Doherty,Corporate
VG-2179078,Vivek Gonzalez,Consumer
TB-2159545,Troy Blackwell,Consumer
LR-70358,Lisa Ryan,Corporate
CV-122951402,Christina VanderZanden,Consumer
JK-1612082,Julie Kriz,Home Office
LW-1721582,Luke Weiss,Consumer
DR-129401404,Daniel Raglin,Home Office
RA-928560,Ralph Arnett,Consumer
SS-2087527,Sung Shariari,Consumer
SC-2026064,Scott Cohen,Corporate
EH-1399048,Erica Hackney,Consumer
MP-181751406,Mike Pelletier,Home Office
DW-1354031,Don Weiss,Consumer
AF-108855,Art Foster,Consumer
JH-1618048,Justin Hirsh,Consumer
SW-2027555,Scott Williamson,Consumer
SV-2036582,Seth Vernon,Consumer
SZ-20035130,Sam Zeldin,Home Office
MT-1781527,Meg Tillman,Consumer
MG-181451402,Mike Gockenbach,Consumer
CL-1256555,Clay Ludtke,Consumer
RD-966023,Robert Dilbeck,Home Office
SW-2035048,Sean Wendt,Home Office
CS-1225048,Chris Selesnick,Corporate
JD-1589539,Jonathan Doherty,Corporate
AF-10870102,Art Ferguson,Consumer
AR-345108,Alex Russell,Corporate
Dl-136001404,Dorris liebe,Corporate
GT-1475558,Guy Thornton,Consumer
VG-2179058,Vivek Gonzalez,Consumer
GA-147251404,Guy Armstrong,Consumer
BF-1108059,Bart Folk,Consumer
MH-1778558,Maya Herman,Corporate
KM-167201406,Kunst Miller,Consumer
MP-174701402,Mark Packer,Home Office
NC-183401402,Nat Carroll,Consumer
JB-600095,Joy Bell-,Consumer
SG-208901406,Susan Gilcrest,Corporate
SA-20830139,Sue Ann Reed,Consumer
NG-8430108,Nathan Gelder,Consumer
AA-103151404,Alex Avila,Consumer
PG-8895108,Paul Gonzalez,Consumer
RM-1975027,Roland Murray,Consumer
JP-5460134,Jennifer Patt,Corporate
AR-40533,Allen Rosenblatt,Corporate
DD-135701402,Dorothy Dickinson,Consumer
RW-195407,Rick Wilson,Corporate
JO-152801406,Jas O'Carroll,Consumer
LB-16735125,Larry Blacks,Consumer
KB-162401408,Karen Bern,Corporate
RP-1927018,Rachel Payne,Corporate
TS-21370124,Todd Sumrall,Corporate
TG-216401408,Trudy Glocke,Consumer
AS-1004564,Aaron Smayling,Corporate
BP-1123064,Benjamin Patterson,Consumer
RP-19270118,Rachel Payne,Corporate
JB-15400101,Jennifer Braxton,Corporate
PA-19060102,Pete Armstrong,Home Office
VP-2176098,Victoria Pisteka,Corporate
LS-1724528,Lynn Smith,Consumer
KH-163301406,Katharine Harms,Corporate
KM-167201404,Kunst Miller,Consumer
